id;type;positive_action_definition;negative_action_definition;display_name_de;display_name_en;display_name_fr;display_name_it
1;AUTO_OFFER;Ohio panel;Sleek array;Realigned primary Computer;synthesize gold Licensed;auxiliary;Leone Cambridgeshire cross-platform
2;AUTO_OFFER;Tools Malawi;interactive;connect port;focus;Comoro;backing microchip
3;AUTO_DECLINE;Kentucky FTP;invoice Analyst HDD;Bedfordshire Paradigm;Developer Borders payment;Massachusetts Horizontal;programming online
4;AUTO_OFFER;Fort navigate quantifying;International synergize;Solutions;mobile Darussalam;hacking;relationships
5;AUTO_DECLINE;Factors Phased;e-markets Soap;Object-based Rustic SQL;Electronics Avon maroon;Dollar Maine platforms;Chicken
6;AUTO_DECLINE;Bosnia;SDD navigating;Licensed;USB frame Future;hacking Savings;deposit structure
7;AUTO_OFFER;neural help-desk;payment;payment wireless;primary Shirt Steel;PNG Handcrafted;Reunion Summit
8;AUTO_OFFER;monitor backing grey;24/365;transparent Albania Loan;Pennsylvania Missouri;ADP;auxiliary
9;AUTO_DECLINE;synthesizing Applications Car;Product;Buckinghamshire uniform;Rupee;Chair;Station
10;AUTO_DECLINE;Garden Port;Soap migration;Licensed;wireless District Frozen;Awesome PCI New;Soft Streets
