id;priority;criteria_action_type;operator;criteria_definition
1;16138;NEGATIVE;NOT_EQUAL_TO;CREDITWORTHINESS
2;71302;NEGATIVE;EQUAL_TO;CREDITWORTHINESS
3;3947;POSITIVE;LESS_THAN_OR_EQUAL_TO;SALARY_SUMM
4;73034;POSITIVE;LESS_THAN;SALARY_SUMM
5;1051;NEGATIVE;CONTAINS;SALARY_SUMM
6;41237;NEGATIVE;GREATER_THAN;AMOUNT_OF_EMPLOYEES
7;8287;NEGATIVE;NOT_EQUAL_TO;SALARY_SUMM
8;42323;POSITIVE;LESS_THAN;SALARY_SUMM
9;2257;POSITIVE;NOT_EQUAL_TO;AMOUNT_OF_EMPLOYEES
10;67655;POSITIVE;GREATER_THAN_OR_EQUAL_TO;SALARY_SUMM
