id;start_date;end_date;language
1;2020-08-30T17:58:17;2020-08-30T15:48:32;ENGLISH
2;2020-08-30T03:25:52;2020-08-30T12:51:21;FRENCH
3;2020-08-30T13:22:04;2020-08-30T01:27:12;SPANISH
4;2020-08-30T17:52:53;2020-08-29T23:19:12;FRENCH
5;2020-08-30T20:09:16;2020-08-30T04:28:14;ENGLISH
6;2020-08-30T05:39:59;2020-08-30T19:40:19;SPANISH
7;2020-08-30T13:43:47;2020-08-30T00:17:56;FRENCH
8;2020-08-30T04:09:40;2020-08-30T00:45:29;FRENCH
9;2020-08-30T05:01:18;2020-08-30T16:32:44;FRENCH
10;2020-08-30T00:58:16;2020-08-30T17:55:45;FRENCH
